State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
AK,1.0,0.0,N/A,0,1.0,0.5828031579999999,0,0.417196842,0.4171968418718786,-1.0,,0.0,0.3343936840000001,0.5
AL,7.0,1.0,1.0,1,6.0,0.7716515246666665,2,0.33858440742857143,0.3372749167674027,-1.0,,0.008815614428571428,0.034311672000000036,0.2142857142857143
AR,4.0,0.0,N/A,0,4.0,0.9032838347500001,3,0.09671616525,0.12772637485919322,-1.0,,0.09671616525,-0.30656766950000003,0.25
AZ,9.0,4.0,0.72518208325,1,5.0,0.7092745970000001,1,0.48381726088888893,0.45004686687849194,0.45093883077831753,0.5,0.053402186888888925,0.02319007733333336,0.05555555555555558
CA,53.0,39.0,0.7560752002820512,9,14.0,0.5921318677142857,0,0.6640959747735847,0.64813848005462,0.999807728788722,0.00010323628655775245,-0.005996564226415035,0.09234289294339623,-0.028301886792452824
CO,7.0,3.0,0.6319630073333333,0,4.0,0.6139073482499999,0,0.4914656612857143,0.4951511048318911,0.3670477419848156,0.29794154528258887,0.035860800285714256,0.05435989400000004,0.07142857142857145
CT,5.0,5.0,0.6354153026,0,0.0,N/A,0,0.6354153026,0.6354079163278835,-1.0,,-0.017208249399999986,-0.22916939480000006,-0.09999999999999998
DE,1.0,1.0,0.57546168,0,0.0,N/A,0,0.57546168,0.5754616796639194,-1.0,,0.0,-0.34907664000000005,0.5
FL,27.0,11.0,0.648573584,1,16.0,0.6286097846250002,0,0.4843167729629628,0.4570703986073123,0.3049635814517456,0.31960966599334373,0.046909561962962976,0.061226138518518554,0.09259259259259262
GA,14.0,4.0,0.80347112775,1,10.0,0.7870603179,4,0.3816629522857143,0.3973688488441875,0.4399756534600928,0.4711744423280776,0.027104269285714244,-0.022388381142857128,0.0
HI,2.0,2.0,0.7857107285,0,0.0,N/A,0,0.7857107285,0.7869422306048157,-1.0,,0.0,0.07142145700000002,0.0
IA,4.0,1.0,0.537398783,0,3.0,0.575104708,0,0.45302116475,0.4532035703862898,-1.0,,0.009062536750000016,0.15604232949999997,0.0
ID,2.0,0.0,N/A,0,2.0,0.681662038,0,0.318337962,0.3183252708153094,-1.0,,0.0,0.13667592399999995,0.0
IL,18.0,11.0,0.7340661884545454,2,7.0,0.7258567574285716,2,0.5552072650555555,0.539660351476544,0.5381580430790918,0.32448690409886616,-0.03790742844444439,-0.0006965809999999925,-0.05555555555555558
IN,9.0,2.0,0.81347183,1,7.0,0.664581516,0,0.4416525608888888,0.42185392785739756,0.07490234833507219,0.33027460260083646,0.08350666388888883,0.16108289955555558,0.2777777777777778
KS,4.0,0.0,N/A,0,4.0,0.720503076,1,0.279496924,0.3139073502161828,-1.0,,-0.05861160700000001,0.05899384799999999,-0.25
KY,6.0,1.0,0.634991958,0,5.0,0.8101029858000001,2,0.2640795048333333,0.2928561554272868,-1.0,,-0.016108172666666642,-0.13850765699999998,-0.16666666666666663
LA,6.0,1.0,1.0,1,5.0,0.8158405334,1,0.32013288883333335,0.31997676460777796,-1.0,,0.09274773233333333,-0.02640088900000004,0.33333333333333337
MA,9.0,9.0,0.8597809732222221,5,0.0,N/A,0,0.8597809732222221,0.8386340296440277,-1.0,,-0.14021902677777787,0.21956194644444446,-0.05555555555555558
MD,8.0,7.0,0.681607196,0,1.0,0.700684006,0,0.63382079575,0.629722340248656,-1.0,,-0.017698207750000083,-0.1073584085,-0.25
ME,2.0,1.0,0.580304247,0,1.0,0.5480126949999999,0,0.516145776,0.5196082647693644,-1.0,,0.0,0.03229155200000006,0.0
MI,14.0,5.0,0.7137427317999998,0,9.0,0.6135014551111111,0,0.5033714687857144,0.4944326243771929,0.009107629561900128,0.030974075706740573,0.08193685978571441,0.14960008042857137,0.14285714285714285
MN,8.0,5.0,0.5829290804,0,3.0,0.578377982,0,0.522438932,0.518037927602738,0.5240625753583673,0.382797241997882,0.019130765000000105,-0.08012213599999995,0.125
MO,8.0,2.0,0.698623385,0,6.0,0.7014664999999999,0,0.39855597125,0.39416086576350484,0.5188179620502387,0.43381616738909634,0.10527872875,0.047111942499999976,0.25
MS,4.0,1.0,0.6971854209999999,0,3.0,0.6990021503333335,0,0.4000447425,0.3978894602133534,-1.0,,0.09308381850000003,0.05008948499999996,0.25
MT,1.0,0.0,N/A,0,1.0,0.5808495,0,0.41915050000000004,0.41915049961630607,-1.0,,0.0,0.338301,0.5
NC,13.0,3.0,0.6852123813333333,0,10.0,0.6027409935999999,0,0.4637097852307692,0.46681199750674673,0.0014115992249031796,0.011247135611224826,0.047726640230769224,0.19665033969230775,0.2692307692307692
ND,1.0,0.0,N/A,0,1.0,0.744312994,0,0.255687006,0.25568700553828927,-1.0,,0.0,0.011374012000000044,0.5
NE,3.0,0.0,N/A,0,3.0,0.733580555,1,0.266419445,0.2839219342791019,-1.0,,-0.039054171000000026,0.03283888999999999,-0.16666666666666663
NH,2.0,2.0,0.515346045,0,0.0,N/A,0,0.515346045,0.5155193695040517,-1.0,,0.0,-0.46930791000000005,0.0
NJ,12.0,7.0,0.6927393215714286,0,5.0,0.6057234186,0,0.5683798465,0.5416247553334557,0.9257034298480495,0.052188343299878044,-0.0028070240000001023,0.053426359666666645,0.0
NM,3.0,2.0,0.637821735,0,1.0,0.627394577,0,0.5494162976666667,0.5601297344418021,-1.0,,-0.0747541553333333,-0.06783407133333334,-0.16666666666666663
NV,4.0,3.0,0.5703351036666667,0,1.0,0.61218909,0,0.5247040552500001,0.5049735792577545,-1.0,,0.010529726750000079,-0.20059188949999993,0.25
NY,27.0,18.0,0.8058695611666666,4,9.0,0.6057854934444443,0,0.6686512096296297,0.6392104461281926,0.9990558663310414,0.003989864583302538,-0.0102807093703704,0.1706357525925926,-0.01851851851851849
OH,16.0,4.0,0.71311926925,0,12.0,0.67108175475,0,0.42496850124999996,0.41831011893898506,0.05405937976249961,0.1815408617792153,0.08695619924999998,0.09993700250000001,0.25
OK,5.0,0.0,N/A,0,5.0,0.7742110878,1,0.2257889122,0.28081522549162125,-1.0,,-0.021556721799999984,-0.04842217560000002,-0.09999999999999998
OR,5.0,4.0,0.68865531625,1,1.0,0.719066787,0,0.6071108956,0.5841865572082412,-1.0,,0.024011239599999956,-0.0857782088,0.09999999999999998
PA,18.0,5.0,0.801097762,1,13.0,0.6766061754615383,2,0.4560893627222222,0.4587439894284576,0.07558586978479893,0.11794492976166593,0.0562352287222222,0.13440094766666663,0.2222222222222222
RI,2.0,2.0,0.6510071025,0,0.0,N/A,0,0.6510071025,0.6510225549799242,-1.0,,0.0,-0.1979857949999999,0.0
SC,7.0,1.0,0.7173951609999999,0,6.0,0.6447635501666668,0,0.40697340857142855,0.4016444847403119,-1.0,,0.020824963571428545,0.17108967428571425,0.35714285714285715
SD,1.0,0.0,N/A,0,1.0,0.641027859,0,0.358972141,0.3589721412103045,-1.0,,0.0,0.217944282,0.5
TN,9.0,2.0,0.716122386,0,7.0,0.7417133094285714,0,0.3600279562222222,0.352776806485144,0.663931315083695,0.44180872969068413,0.09270017822222215,-0.0021663097777777393,0.2777777777777778
TX,36.0,11.0,0.7700779314545456,2,25.0,0.7433393104399998,8,0.4135381801388888,0.3936820982195129,0.335333836309882,0.13332809233471338,0.022147894638888888,0.02152080472222225,0.1388888888888889
UT,4.0,0.0,N/A,0,4.0,0.66475110625,0,0.33524889375,0.3339344259222116,-1.0,,0.014702148749999977,0.17049778750000003,0.0
VA,11.0,4.0,0.74051293025,1,7.0,0.6142304145714286,0,0.5147671653636364,0.5022169188069693,0.05792556223628626,0.07818786087982231,0.09130808336363638,0.16589796709090912,0.13636363636363635
VT,1.0,1.0,1.0,1,0.0,N/A,0,1.0,1.0,-1.0,,0.0,0.5,0.5
WA,10.0,6.0,0.6875240955,1,4.0,0.7039720564999999,1,0.5309256347000001,0.5527302306405373,0.4446798186499682,0.5,-0.039475588799999906,-0.038148730600000035,-0.09999999999999998
WI,8.0,3.0,0.8960010663333334,2,5.0,0.6453397155999999,0,0.557663077625,0.5206991727273584,0.00997282053490285,0.0359620410065251,0.16889150362499994,0.24032615525000003,0.125
WV,3.0,0.0,N/A,0,3.0,0.6701810253333335,0,0.32981897466666665,0.3352657192448907,-1.0,,0.019552859666666644,0.15963794933333333,0.16666666666666669
WY,1.0,0.0,N/A,0,1.0,0.674212794,0,0.325787206,0.3257872061197883,-1.0,,0.0,0.151574412,0.5
