State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AK,2016,District B,7336,8429,0.4653346019663812,0,R
AK,2016,District D,0,11689,0.0,0,R
AK,2016,District F,0,12284,0.0,0,R
AK,2016,District H,6125,4674,0.5671821464950458,0,D
AK,2016,District J,8103,0,1.0,0,D
AK,2016,District L,5971,7645,0.43852820211515864,0,R
AK,2016,District N,0,9570,0.0,0,R
AK,2016,District P,0,12950,0.0,0,R
AK,2016,District R,0,12882,0.0,0,R
AK,2016,District T,8603,0,1.0,0,D
AZ,2016,District 1,0,87011,0.0,0,R
AZ,2016,District 10,50850,43526,0.5388022378570823,0,D
AZ,2016,District 11,40390,59475,0.4044460021028388,0,R
AZ,2016,District 12,37178,69356,0.3489777911277151,0,R
AZ,2016,District 13,0,62124,0.0,0,R
AZ,2016,District 14,32229,54084,0.3733968231900177,0,R
AZ,2016,District 15,36414,62691,0.3674284849402149,0,R
AZ,2016,District 16,30180,56096,0.34980759423246327,0,R
AZ,2016,District 17,41676,54454,0.43353791740351605,0,R
AZ,2016,District 18,53962,50935,0.5144284393261962,0,D
AZ,2016,District 19,38817,0,1.0,0,D
AZ,2016,District 2,39693,27066,0.594571518446951,0,D
AZ,2016,District 20,28987,40122,0.4194388574570606,0,R
AZ,2016,District 21,0,64404,0.0,0,R
AZ,2016,District 22,38620,71863,0.3495560402957921,0,R
AZ,2016,District 23,0,88099,0.0,0,R
AZ,2016,District 24,54351,0,1.0,0,D
AZ,2016,District 25,0,69914,0.0,0,R
AZ,2016,District 26,40995,0,1.0,0,D
AZ,2016,District 27,40085,0,1.0,0,D
AZ,2016,District 28,48124,50436,0.4882711038961039,0,R
AZ,2016,District 29,29638,13615,0.6852241463019906,0,D
AZ,2016,District 3,48887,0,1.0,0,D
AZ,2016,District 30,27941,14152,0.6637920794431378,0,D
AZ,2016,District 4,37668,0,1.0,0,D
AZ,2016,District 5,0,62615,0.0,0,R
AZ,2016,District 6,47557,49318,0.4909109677419355,0,R
AZ,2016,District 7,54421,0,1.0,0,D
AZ,2016,District 8,28585,32366,0.46898328165247494,0,R
AZ,2016,District 9,68109,0,1.0,0,D
CA,2016,District 1,323004,574628,0.35984011265195537,0,R
CA,2016,District 11,418924,0,1.0,0,D
CA,2016,District 13,592800,188538,0.7586985401964322,0,D
CA,2016,District 15,392178,0,1.0,0,D
CA,2016,District 17,537612,282678,0.6553926050543101,0,D
CA,2016,District 19,449668,263196,0.6307907258607532,0,D
CA,2016,District 21,285772,320086,0.47168148311980695,0,R
CA,2016,District 23,283066,368940,0.4341463115370104,0,R
CA,2016,District 25,436484,318028,0.5784984201709185,0,D
CA,2016,District 27,437310,345654,0.5585314267322635,0,D
CA,2016,District 29,320460,315464,0.5039281423566339,0,D
CA,2016,District 3,415854,0,1.0,0,D
CA,2016,District 31,335148,218476,0.6053711544297212,0,D
CA,2016,District 33,355942,0,1.0,0,D
CA,2016,District 35,270706,0,1.0,0,D
CA,2016,District 37,344910,456960,0.43013206629503536,0,R
CA,2016,District 39,517372,310106,0.6252395834088641,0,D
CA,2016,District 5,349694,267208,0.5668550272166406,0,D
CA,2016,District 7,540970,270244,0.666864723735044,0,D
CA,2016,District 9,472266,0,1.0,0,D
CO,2016,District 10,24430,47832,0.3380753369682544,0,R
CO,2016,District 12,0,45938,0.0,0,R
CO,2016,District 14,52902,32886,0.6166596726814939,0,D
CO,2016,District 17,57649,0,1.0,0,D
CO,2016,District 18,67799,17370,0.7960525543331494,0,D
CO,2016,District 19,39070,37592,0.5096397172001774,0,D
CO,2016,District 21,38428,352,0.9909231562661166,0,D
CO,2016,District 23,40281,55528,0.42043023098038806,0,R
CO,2016,District 25,27678,30074,0.47925612965784736,0,R
