State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
CA,2016,District 9,219958,109458,0.6677210578721131,0,D
CO,2016,District 1,17474,11154,0.6103814447394159,0,D
CO,2016,District 10,35984,0,1.0,0,D
CO,2016,District 11,25327,16749,0.6019345945432075,0,D
CO,2016,District 12,29663,15906,0.6509469156663521,0,D
CO,2016,District 13,34114,0,1.0,0,D
CO,2016,District 14,12077,31766,0.275460164678512,0,R
CO,2016,District 15,11962,25239,0.3215504959544098,0,R
CO,2016,District 16,0,26225,0.0,0,R
CO,2016,District 17,11445,9613,0.5434989077785165,0,D
CO,2016,District 18,21145,15556,0.5761423394457916,0,D
CO,2016,District 19,10258,40011,0.20406214565636874,0,R
CO,2016,District 2,34422,12550,0.7328195520735757,0,D
CO,2016,District 20,12461,26517,0.3196931602442403,0,R
CO,2016,District 21,0,17358,0.0,0,R
CO,2016,District 22,0,26311,0.0,0,R
CO,2016,District 23,23872,18850,0.5587753382332288,0,D
CO,2016,District 24,24103,18191,0.5698917104080957,0,D
CO,2016,District 25,24381,26232,0.48171418410289846,0,R
CO,2016,District 26,22442,14498,0.6075257173795344,0,D
CO,2016,District 27,20098,26554,0.4308068250021435,0,R
CO,2016,District 28,22431,14522,0.6070143154818283,0,D
CO,2016,District 29,21701,18072,0.5456214014532472,0,D
CO,2016,District 3,22016,19892,0.5253412236327193,0,D
CO,2016,District 30,15844,13395,0.5418789972297274,0,D
CO,2016,District 31,18452,14861,0.5538978777054003,0,D
CO,2016,District 32,15736,8710,0.643704491532357,0,D
CO,2016,District 33,25268,20197,0.5557681733201364,0,D
CO,2016,District 34,14865,13061,0.5322996490725489,0,D
CO,2016,District 35,20198,15660,0.5632773718556529,0,D
CO,2016,District 36,19423,15708,0.5528735305001281,0,D
CO,2016,District 37,19516,23518,0.45350188223265325,0,R
CO,2016,District 38,21380,29316,0.42172952501183525,0,R
CO,2016,District 39,13478,33472,0.2870713525026624,0,R
CO,2016,District 4,25224,7577,0.7690009450931374,0,D
CO,2016,District 40,21391,15691,0.5768566959710911,0,D
CO,2016,District 41,20933,13874,0.6014020168356939,0,D
CO,2016,District 42,16103,7265,0.6891047586442999,0,D
CO,2016,District 43,17483,26595,0.39663777848359727,0,R
CO,2016,District 44,16250,29710,0.35356832027850305,0,R
CO,2016,District 45,15109,35321,0.299603410668253,0,R
CO,2016,District 46,29797,0,1.0,0,D
CO,2016,District 47,15891,21714,0.4225767850019944,0,R
CO,2016,District 48,14168,30417,0.3177750364472356,0,R
CO,2016,District 49,21210,35412,0.3745893822189255,0,R
CO,2016,District 5,26130,7668,0.7731226699804722,0,D
CO,2016,District 50,14803,10479,0.5855153864409461,0,D
CO,2016,District 51,18642,28823,0.3927525545138523,0,R
CO,2016,District 52,25876,21428,0.5470150515812616,0,D
CO,2016,District 53,30594,0,1.0,0,D
CO,2016,District 54,0,28790,0.0,0,R
CO,2016,District 55,0,31732,0.0,0,R
CO,2016,District 56,16228,26858,0.3766420647077937,0,R
CO,2016,District 57,0,26002,0.0,0,R
CO,2016,District 58,0,28195,0.0,0,R
CO,2016,District 59,23336,22661,0.507337435050112,0,D
CO,2016,District 6,32624,0,1.0,0,D
CO,2016,District 60,12406,26246,0.3209665735278899,0,R
CO,2016,District 61,24562,19208,0.5611606122915239,0,D
CO,2016,District 62,19720,15805,0.5551020408163265,0,D
CO,2016,District 63,13651,26952,0.33620668423515504,0,R
CO,2016,District 64,9108,27952,0.24576362655153805,0,R
CO,2016,District 65,6797,25965,0.20746596666870154,0,R
CO,2016,District 7,28557,0,1.0,0,D
CO,2016,District 8,38101,6822,0.848140150924916,0,D
CO,2016,District 9,25709,13328,0.6585803212337014,0,D
CT,2016,District 1,5662,489,0.9205007315883597,0,D
CT,2016,District 10,6246,2070,0.7510822510822511,0,D
CT,2016,District 100,7113,3136,0.6940189286759684,0,D
CT,2016,District 101,0,10180,0.0,0,R
CT,2016,District 102,6878,5068,0.5757575757575758,0,D
CT,2016,District 103,5637,5552,0.5037983734024488,0,D
CT,2016,District 104,4880,3673,0.5705600374137729,0,D
CT,2016,District 105,5144,6896,0.42724252491694353,0,R
CT,2016,District 106,5323,7185,0.42556763671250397,0,R
CT,2016,District 107,0,10207,0.0,0,R
CT,2016,District 108,0,8133,0.0,0,R
CT,2016,District 109,5320,2835,0.6523605150214592,0,D
CT,2016,District 11,5794,0,1.0,0,D
CT,2016,District 110,3514,2119,0.623823894905024,0,D
CT,2016,District 111,4991,8435,0.37174139728884253,0,R
CT,2016,District 112,0,9753,0.0,0,R
CT,2016,District 113,3017,8090,0.2716305032862159,0,R
CT,2016,District 114,0,8993,0.0,0,R
CT,2016,District 115,5798,2389,0.7081959203615488,0,D
CT,2016,District 116,4496,1704,0.7251612903225807,0,D
CT,2016,District 117,5177,6746,0.43420280130839556,0,R
CT,2016,District 118,6447,4731,0.5767579173376275,0,D
CT,2016,District 119,5231,7538,0.40966403007283264,0,R
CT,2016,District 12,6313,4000,0.6121400174536992,0,D
CT,2016,District 120,4470,7511,0.37309072698439194,0,R
CT,2016,District 121,7010,0,1.0,0,D
CT,2016,District 122,0,8996,0.0,0,R
CT,2016,District 123,4847,7727,0.38547797041514237,0,R
CT,2016,District 124,5301,607,0.8972579553148273,0,D
CT,2016,District 125,0,9261,0.0,0,R
CT,2016,District 126,6335,1266,0.8334429680305223,0,D
CT,2016,District 127,5109,1573,0.7645914396887159,0,D
CT,2016,District 128,3535,557,0.863880742913001,0,D
CT,2016,District 129,5181,1347,0.7936580882352942,0,D
CT,2016,District 13,5647,5912,0.4885370706808547,0,R
CT,2016,District 130,4032,555,0.8790058862001308,0,D
CT,2016,District 131,3716,8073,0.3152090932224956,0,R
CT,2016,District 132,5330,7984,0.4003304791948325,0,R
CT,2016,District 133,6402,4428,0.5911357340720221,0,D
CT,2016,District 134,4849,7377,0.3966137739244234,0,R
CT,2016,District 135,6301,7186,0.4671906280121599,0,R
CT,2016,District 136,8029,5895,0.5766302786555587,0,D
CT,2016,District 137,6777,3296,0.6727886429067805,0,D
CT,2016,District 138,5051,5935,0.4597669761514655,0,R
CT,2016,District 139,5752,3413,0.6276050190943808,0,D
CT,2016,District 14,6170,6852,0.47381354630625094,0,R
CT,2016,District 140,5710,0,1.0,0,D
CT,2016,District 141,3979,8709,0.3136034047919294,0,R
CT,2016,District 142,0,7477,0.0,0,R
CT,2016,District 143,0,9457,0.0,0,R
CT,2016,District 144,7441,3659,0.6703603603603604,0,D
CT,2016,District 145,5203,1220,0.8100576054803051,0,D
CT,2016,District 146,6279,2869,0.6863795365107127,0,D
CT,2016,District 147,8258,0,1.0,0,D
CT,2016,District 148,5727,2134,0.7285332654878515,0,D
CT,2016,District 149,0,8949,0.0,0,R
CT,2016,District 15,10802,0,1.0,0,D
CT,2016,District 150,0,6769,0.0,0,R
CT,2016,District 151,4812,7321,0.3966043023159977,0,R
CT,2016,District 16,7011,6720,0.510596460563688,0,D
CT,2016,District 17,0,10337,0.0,0,R
CT,2016,District 18,7474,4052,0.6484469894152352,0,D
CT,2016,District 19,7669,6573,0.5384777418901839,0,D
CT,2016,District 2,5730,6012,0.48799182422074605,0,R
