State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AR,2016,District 11,3598,2086,0.6330049261083743,0,D
AR,2016,District 12,4084,2605,0.6105546419494693,0,D
AR,2016,District 15,0,7887,0.0,0,R
AR,2016,District 17,4592,0,1.0,0,D
AR,2016,District 19,2657,5267,0.33531044926804643,0,R
AR,2016,District 21,1869,6891,0.21335616438356164,0,R
AR,2016,District 22,4390,8290,0.3462145110410095,0,R
AR,2016,District 24,2913,6451,0.3110850064075181,0,R
AR,2016,District 26,3244,5077,0.3898569883427473,0,R
AR,2016,District 28,2806,5898,0.32238051470588236,0,R
AR,2016,District 30,8259,0,1.0,0,D
AR,2016,District 31,4703,9665,0.3273246102449889,0,R
AR,2016,District 32,6325,7128,0.47015535568274736,0,R
AR,2016,District 35,8080,5163,0.6101336555161218,0,D
AR,2016,District 38,5347,6113,0.46657940663176267,0,R
AR,2016,District 39,5074,6066,0.455475763016158,0,R
AR,2016,District 41,5418,6342,0.4607142857142857,0,R
AR,2016,District 42,4028,2992,0.5737891737891738,0,D
AR,2016,District 46,0,6997,0.0,0,R
AR,2016,District 47,3547,3649,0.4929127292940523,0,R
AR,2016,District 49,2998,5172,0.36695226438188494,0,R
AR,2016,District 5,4253,3220,0.5691154824033187,0,D
AR,2016,District 54,1738,5484,0.24065355857103296,0,R
AR,2016,District 55,3857,2404,0.616035777032423,0,D
AR,2016,District 56,1881,5772,0.2457859662877303,0,R
AR,2016,District 61,4656,4768,0.4940577249575552,0,R
AR,2016,District 65,2988,6009,0.33211070356785594,0,R
AR,2016,District 67,0,8554,0.0,0,R
AR,2016,District 69,3587,5027,0.4164151381472022,0,R
AR,2016,District 70,4789,5996,0.4440426518312471,0,R
AR,2016,District 71,2560,4741,0.35063689905492396,0,R
AR,2016,District 73,1708,5341,0.2423038728897716,0,R
AR,2016,District 77,2968,4699,0.3871136037563584,0,R
AR,2016,District 80,2647,6395,0.2927449679274497,0,R
AR,2016,District 81,2537,6619,0.27708606378331146,0,R
AR,2016,District 84,7497,6032,0.5541429521768054,0,D
AR,2016,District 87,2815,6660,0.2970976253298153,0,R
AR,2016,District 89,1859,1830,0.5039306044998645,0,D
AR,2016,District 90,3790,7426,0.3379101283880171,0,R
AR,2016,District 92,3627,8988,0.28751486325802617,0,R
AR,2016,District 93,4833,6660,0.4205168363351605,0,R
AR,2016,District 94,3099,3972,0.4382689859991515,0,R
AR,2016,District 95,3968,7498,0.3460666317809175,0,R
AR,2016,District 96,2840,5614,0.3359356517624793,0,R
AR,2016,District 97,4561,6641,0.40715943581503306,0,R
CA,2016,District 1,146898,250454,0.3696923634460126,0,R
CA,2016,District 10,278100,0,1.0,0,D
CA,2016,District 11,192508,120670,0.6146919643142239,0,D
CA,2016,District 12,125622,188808,0.39952294628375157,0,R
CA,2016,District 13,149626,79064,0.6542743451834361,0,D
CA,2016,District 14,218216,0,1.0,0,D
CA,2016,District 15,209166,0,1.0,0,D
CA,2016,District 16,222444,213366,0.5104150891443519,0,D
CA,2016,District 17,280762,0,1.0,0,D
CA,2016,District 18,301724,37788,0.888699073964985,0,D
CA,2016,District 19,309410,60098,0.837356701343408,0,D
CA,2016,District 2,256888,113098,0.6943181633899661,0,D
CA,2016,District 20,211696,61726,0.7742464029961013,0,D
CA,2016,District 21,148640,0,1.0,0,D
