Year,State,r_avg_win,d_avg_win
1954,TN,0.602522162,0.904911673
1954,TX,0.529100329,0.95673878
1954,UT,0.552649827,
1954,VA,0.583543949,0.821600476
1954,VT,0.613760456,
1954,WA,0.574156692,0.575642511
1954,WI,0.591281179,0.595817394
1954,WV,,0.578261
1954,WY,0.561831738,
1956,AL,,0.910394109
1956,AR,,0.935588614
1956,AZ,0.549348762,0.600632013
1956,CA,0.606327054,0.733317051
1956,CO,0.518087927,0.597674318
1956,CT,0.608055257,
1956,DE,0.519564995,
1956,FL,0.563507469,0.741556046
1956,GA,,0.959202188
1956,IA,0.550276052,0.500767133
1956,ID,0.599762046,0.551290039
1956,IL,0.611337526,0.597657018
1956,IN,0.575202163,0.514317806
1956,KS,0.536953185,0.505237389
1956,KY,0.642355104,0.614353989
1956,LA,,0.915725693
1956,MA,0.670293873,0.67527083
1956,MD,0.560352792,0.598546754
1956,ME,0.553300138,0.534409286
1956,MI,0.596666277,0.674123903
1956,MN,0.592928953,0.596144545
1956,MO,0.518367843,0.652231251
1956,MS,,1
1956,MT,,0.564633138
1956,NC,0.626618163,0.798999659
1956,ND,0.624783785,
1956,NE,0.592722797,
1956,NH,0.616868749,
1956,NJ,0.621166611,0.532936696
1956,NM,,1
1956,NV,,0.542152057
1956,NY,0.645614255,0.660437842
1956,OH,0.657301881,0.624853154
1956,OK,0.571567862,0.661864585
1956,OR,0.546999655,0.545038665
1956,PA,0.602357621,0.580884455
1956,RI,,0.539899366
1956,SC,,0.963789753
1956,SD,0.558608086,0.524018331
1956,TN,0.860744243,0.857140703
1956,TX,0.556156124,0.950845345
1956,UT,0.592796362,
1956,VA,0.595060343,0.680118242
1956,VT,0.671287039,
1956,WA,0.54811665,0.585400381
1956,WI,0.616876136,0.582765448
1956,WV,0.515574177,0.554858943
1956,WY,0.581904302,
1958,AK,,0.574479895
1958,AL,,0.984818487
1958,AR,,1
1958,AZ,0.592464657,0.608994503
1958,CA,0.567315819,0.770640144
1958,CO,0.502141725,0.615059312
1958,CT,,0.540989876
1958,DE,,0.502282597
1958,FL,0.587837888,0.912126455
1958,GA,,1
1958,IA,0.528215336,0.534096558
1958,ID,0.550218188,0.624167628
1958,IL,0.580463774,0.667537619
1958,IN,0.520348074,0.554413993
1958,KS,0.509070473,0.518725265
1958,KY,0.680420855,0.787122394
1958,LA,,0.989758538
1958,MA,0.649140304,0.799533123
1958,MD,,0.667416383
1958,ME,0.559493953,0.567117695
1958,MI,0.580064539,0.699820613
1958,MN,0.550781021,0.619728306
1958,MO,0.519132203,0.664278771
1958,MS,,1
1958,MT,,0.652374417
1958,NC,0.519215391,0.825178571
1958,ND,0.553548183,0.519401521
1958,NE,0.590889088,0.53673159
1958,NH,0.586656684,
1958,NJ,0.553477927,0.650639077
1958,NM,,0.625860807
1958,NV,,0.668703236
1958,NY,0.591610526,0.705640681
1958,OH,0.578874298,0.649895862
1958,OK,0.512540827,0.786115911
1958,OR,0.549078731,0.610562804
1958,PA,0.590524577,0.611133263
1958,RI,,0.631078602
1958,SC,,1
1958,SD,0.555898186,0.534433421
1958,TN,0.632439129,0.988029911
1958,TX,0.525803098,0.976230591
