State,dem_uncontested,rep_uncontested
AK,0,0
AL,1,0
AR,0,0
AZ,0,0
CA,8,1
CO,0,0
CT,0,0
DE,0,0
FL,5,0
GA,1,1
HI,0,0
IA,0,0
ID,0,0
IL,0,0
IN,0,0
KS,0,0
KY,0,0
LA,1,0
MA,4,0
MD,0,0
ME,0,0
MI,1,0
MN,0,0
MO,0,0
MS,1,0
MT,0,0
NC,0,1
ND,0,0
NE,0,0
NH,0,0
NJ,0,0
NM,0,0
NV,0,0
NY,6,0
OH,0,0
OK,0,0
OR,0,0
PA,1,0
RI,0,0
SC,0,0
SD,0,0
TN,0,0
TX,4,0
UT,0,0
VA,1,0
VT,0,0
WA,2,0
WI,1,0
WV,0,0
WY,0,0
